,标题,作者
0,友情心理学：如何在关系中彼此疗愈,[美] 玛丽萨·弗兰科
1,一间不属于自己的房间,[西]艾丽西亚•吉梅内斯•巴特利特
2,此生何为：克里希那穆提基金会官方认证版,[印]克里希那穆提
3,像女孩那样丢球,[美]艾丽斯·玛丽恩·杨
4,耳中的世界：音乐在文化中的诞生,[西] 拉蒙·安德烈斯
5,刮风下雨,李静睿
6,枕鱼,[日] panpanya
7,永远不够好：如何让孩子在高压下保持心理健康,[美] 珍妮弗·布雷尼·华莱士
8,幌马车之歌续曲,蓝博洲
9,DOGSRED冰上疯犬 1,[日] 野田悟
10,闺思：宋元社会变迁下的女性与贞节观,[美]柏文莉
11,托尔斯泰小传,[英] 安德烈·佐林
12,呼啸山庄,[英] 艾米莉·勃朗特
13,先写再说：社会学家的十堂写作课,[美] 霍华德·S.贝克尔
14,愤怒的农民：1870年法国乡村惨案,[法] 阿兰·科尔班
15,连接世界：电报与19世纪的全球化,[奥] 罗兰·温茨胡默 / [奥地利] 罗兰·温茨胡默
16,时臻乎革：黄宗羲与儒学政教秩序转型,顾家宁
17,人间三梦：古典文库系列（全三册）,（明）张岱 / （清）冒襄 / （清）沈复
18,钱神：钱的民俗事状和文化象征,王子今
19,燕地记：北京历史地理丛稿,唐晓峰
20,大厂小民：我在互联网公司的1480天,张小满
21,死亡之前的十五秒,[日] 榊林铭
22,受伤的研究者：用心灵做研究,(美) 罗伯特·罗曼尼申
23,给自己的笔记,[爱尔兰] 埃米莉·派因
24,饭圈纪实：爱、数据和权力,马中红 / 唐乐水
25,她和她的决心,东来
26,明夜，谁将留存于这具身体,七月
27,河流研究,陈丹燕
28,南方与北方,[英] 伊丽莎白·盖斯凯尔
29,表演社会：如何走出洞穴,[意]安德里亚·科拉美第奇 / [意]莫拉·甘齐塔诺
30,低俗小说,[美] 达纳·波兰（Dana Polan）
31,致克拉拉的信,[墨西哥] 胡安·鲁尔福
32,狄仁杰与武则天：武周革命与平民官僚的崛起,吴鹏
33,翡翠岛编年（十周年增订版）,包慧怡
34,看不见的女人：无处不在的隐形家务,安·奥克利
35,我的高职学生,郭菲
36,汴京，汴京：一座城市的衰落，一个王朝的崩塌,高飏
37,长江下游地区的地租、赋税与农民反抗斗争（1840—1949）,[美]白凯
38,愤怒的葡萄,[美] 约翰·斯坦贝克
39,阴郁之人的晴朗之地,[阿根廷] 玛丽安娜·恩里克斯
40,阿尔茨海默来到我家怎么办,[日]长谷川嘉哉
41,变老之前要知道,[英]露西·波洛克
42,巴黎评论·非虚构作家访谈,美国《巴黎评论》编辑部 编
43,Agent设计模式：图解可复用智能体架构,黄佳
44,漫画微积分,[美] 拉里·戈尼克
45,唐朝的崛起,[美] 朱利安·罗曼
46,三重思想家：文学随笔十二篇,[美] 埃德蒙·威尔逊
47,仪式的力量,[美] 迈克尔·诺顿（Michael Norton）
48,早上苍老，傍晚年轻：德语文学之镜,黄雪媛
49,远逝,郭沛文
